Tuning Experiment Output,22/04/2022 21:38:08
Network,medium
Min Target Flow,600
Exact Cost,475714.2721209895
Relaxed Cost,478382.43584615976
TUNING EXPERIMENT OUTPUT
Num. Ants,Initial Pheromone,Evap. Rate,Alpha,Beta,Q,Best Cost,Convergence
25,1,0.05,1,1,1,624358.7021667976,684363.2692454415,669382.9778539753,669382.9778539753,669382.9778539753,669382.9778539753,646180.8443151411,646180.8443151411,629615.0635398468,629615.0635398468,629615.0635398468,626666.1100621404,624358.7021667976,624358.7021667976,624358.7021667976,624358.7021667976
25,1,0.05,1,1,5,582534.1254845357,648625.9271973708,648625.9271973708,648625.9271973708,610678.4960783684,610678.4960783684,610678.4960783684,610678.4960783684,610678.4960783684,610678.4960783684,610678.4960783684,610678.4960783684,610678.4960783684,610678.4960783684,582534.1254845357,582534.1254845357
25,1,0.05,1,3,1,592755.962375983,708502.7616065645,659117.8164750331,592755.962375983,592755.962375983,592755.962375983,592755.962375983,592755.962375983,592755.962375983,592755.962375983,592755.962375983,592755.962375983,592755.962375983,592755.962375983,592755.962375983,592755.962375983
25,1,0.05,1,3,5,593237.0054351974,663134.4411478785,663134.4411478785,658322.2477340286,658322.2477340286,597334.5858201467,597334.5858201467,597334.5858201467,597334.5858201467,593237.0054351974,593237.0054351974,593237.0054351974,593237.0054351974,593237.0054351974,593237.0054351974,593237.0054351974
25,1,0.05,3,1,1,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144,613741.0891682144
25,1,0.05,3,1,5,589640.8279247936,674696.0236461755,615443.4755762649,615443.4755762649,615443.4755762649,589640.8279247936,589640.8279247936,589640.8279247936,589640.8279247936,589640.8279247936,589640.8279247936,589640.8279247936,589640.8279247936,589640.8279247936,589640.8279247936,589640.8279247936
25,1,0.05,3,3,1,554446.9255724853,669409.9052632649,669409.9052632649,669409.9052632649,554446.9255724853,554446.9255724853,554446.9255724853,554446.9255724853,554446.9255724853,554446.9255724853,554446.9255724853,554446.9255724853,554446.9255724853,554446.9255724853,554446.9255724853,554446.9255724853
25,1,0.05,3,3,5,610632.0194655105,671437.6442690861,671437.6442690861,666642.5242769475,666642.5242769475,666642.5242769475,610632.0194655105,610632.0194655105,610632.0194655105,610632.0194655105,610632.0194655105,610632.0194655105,610632.0194655105,610632.0194655105,610632.0194655105,610632.0194655105
25,1,0.1,1,1,1,587226.2652022586,615077.1965407281,615077.1965407281,615077.1965407281,615077.1965407281,612289.8023038569,612289.8023038569,612289.8023038569,612289.8023038569,612289.8023038569,612289.8023038569,612289.8023038569,612289.8023038569,612289.8023038569,587226.2652022586,587226.2652022586
25,1,0.1,1,1,5,595431.2724735262,658787.6338258531,658787.6338258531,642282.6604105721,642282.6604105721,642282.6604105721,628024.0549706692,595431.2724735262,595431.2724735262,595431.2724735262,595431.2724735262,595431.2724735262,595431.2724735262,595431.2724735262,595431.2724735262,595431.2724735262
25,1,0.1,1,3,1,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972,602416.0997618972
25,1,0.1,1,3,5,601664.5800228474,693644.410544526,693644.410544526,628157.4959762116,608753.5960515025,608753.5960515025,608753.5960515025,608753.5960515025,608753.5960515025,608753.5960515025,608753.5960515025,608753.5960515025,608753.5960515025,608753.5960515025,601664.5800228474,601664.5800228474
25,1,0.1,3,1,1,612739.908431355,651598.8197568305,643179.4889284264,643179.4889284264,641197.162851694,641197.162851694,641197.162851694,628073.5559881487,628073.5559881487,628073.5559881487,628073.5559881487,612739.908431355,612739.908431355,612739.908431355,612739.908431355,612739.908431355
25,1,0.1,3,1,5,605583.6071489421,664168.0531162944,664168.0531162944,605583.6071489421,605583.6071489421,605583.6071489421,605583.6071489421,605583.6071489421,605583.6071489421,605583.6071489421,605583.6071489421,605583.6071489421,605583.6071489421,605583.6071489421,605583.6071489421,605583.6071489421
25,1,0.1,3,3,1,620831.3695374377,713889.4960605017,713889.4960605017,668523.0894445834,668523.0894445834,620831.3695374377,620831.3695374377,620831.3695374377,620831.3695374377,620831.3695374377,620831.3695374377,620831.3695374377,620831.3695374377,620831.3695374377,620831.3695374377,620831.3695374377
25,1,0.1,3,3,5,600884.1040140026,710215.7238006024,658453.7646753921,642039.4166891793,642039.4166891793,642039.4166891793,600884.1040140026,600884.1040140026,600884.1040140026,600884.1040140026,600884.1040140026,600884.1040140026,600884.1040140026,600884.1040140026,600884.1040140026,600884.1040140026
25,1,0.5,1,1,1,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625,565513.9572504625
25,1,0.5,1,1,5,565122.7870100477,693697.9652483963,678935.9081938385,593592.4986204827,593592.4986204827,593592.4986204827,593592.4986204827,593592.4986204827,593592.4986204827,593592.4986204827,593592.4986204827,593592.4986204827,593592.4986204827,593592.4986204827,585636.7486320055,565122.7870100477
