Tuning Experiment Output,22/04/2022 12:57:29
Network,medium
Min Target Flow,700
Exact Cost,573182.8395708431
Relaxed Cost,578345.4805457174
TUNING EXPERIMENT OUTPUT
Num. Ants,Initial Pheromone,Evap. Rate,Alpha,Beta,Q,Best Cost,Convergence
10,1,0.05,1,1,1,769825.9342115539,788576.4684906639,788576.4684906639,788576.4684906639,788576.4684906639,769825.9342115539,769825.9342115539,769825.9342115539,769825.9342115539,769825.9342115539,769825.9342115539
10,1,0.05,1,1,5,772362.696030962,816013.860156657,816013.860156657,816013.860156657,816013.860156657,816013.860156657,773971.1369709284,773971.1369709284,773971.1369709284,773971.1369709284,772362.696030962
10,1,0.05,1,5,1,788551.1089131793,825725.77488856,825725.77488856,815466.5316355649,815466.5316355649,815466.5316355649,798269.0666759509,798269.0666759509,798269.0666759509,788551.1089131793,788551.1089131793
10,1,0.05,1,5,5,739662.1449191739,873496.1864665283,860622.3578883233,801086.9775892196,781134.1897014972,739662.1449191739,739662.1449191739,739662.1449191739,739662.1449191739,739662.1449191739,739662.1449191739
10,1,0.05,3,1,1,749061.1017560908,893345.3348273255,886498.4194298421,823005.9995591667,765494.2009640943,765494.2009640943,765494.2009640943,765494.2009640943,749061.1017560908,749061.1017560908,749061.1017560908
10,1,0.05,3,1,5,771761.1746465383,924595.4407351016,797077.922253838,797077.922253838,771761.1746465383,771761.1746465383,771761.1746465383,771761.1746465383,771761.1746465383,771761.1746465383,771761.1746465383
10,1,0.05,3,5,1,761101.895957832,912316.641421874,761679.4720413446,761101.895957832,761101.895957832,761101.895957832,761101.895957832,761101.895957832,761101.895957832,761101.895957832,761101.895957832
10,1,0.05,3,5,5,737850.7050067552,737850.7050067552,737850.7050067552,737850.7050067552,737850.7050067552,737850.7050067552,737850.7050067552,737850.7050067552,737850.7050067552,737850.7050067552,737850.7050067552
10,1,0.5,1,1,1,800443.8689416663,829817.3361066522,829817.3361066522,809493.0390103186,809493.0390103186,809493.0390103186,809493.0390103186,809493.0390103186,809493.0390103186,809493.0390103186,800443.8689416663
10,1,0.5,1,1,5,762906.1909587429,787066.1890420021,787066.1890420021,787066.1890420021,787066.1890420021,787066.1890420021,787066.1890420021,787066.1890420021,787066.1890420021,787066.1890420021,762906.1909587429
10,1,0.5,1,5,1,708318.678991039,834110.7036827456,834110.7036827456,788086.171184,788086.171184,708318.678991039,708318.678991039,708318.678991039,708318.678991039,708318.678991039,708318.678991039
10,1,0.5,1,5,5,744106.2681058635,835161.085238093,835161.085238093,744106.2681058635,744106.2681058635,744106.2681058635,744106.2681058635,744106.2681058635,744106.2681058635,744106.2681058635,744106.2681058635
10,1,0.5,3,1,1,764416.079359355,790319.4685054456,764416.079359355,764416.079359355,764416.079359355,764416.079359355,764416.079359355,764416.079359355,764416.079359355,764416.079359355,764416.079359355
10,1,0.5,3,1,5,775024.5836657248,775024.5836657248,775024.5836657248,775024.5836657248,775024.5836657248,775024.5836657248,775024.5836657248,775024.5836657248,775024.5836657248,775024.5836657248,775024.5836657248
10,1,0.5,3,5,1,726392.3020263385,904026.8386974322,863412.2786694128,726392.3020263385,726392.3020263385,726392.3020263385,726392.3020263385,726392.3020263385,726392.3020263385,726392.3020263385,726392.3020263385
10,1,0.5,3,5,5,746405.1059522283,843821.5851028726,832641.5735656893,832641.5735656893,832641.5735656893,804689.8531120102,788232.2417608466,788232.2417608466,788232.2417608466,746405.1059522283,746405.1059522283
10,1000000,0.05,1,1,1,784497.248401249,832958.6361255164,832958.6361255164,832958.6361255164,788335.0824300294,788335.0824300294,788335.0824300294,788335.0824300294,788335.0824300294,788335.0824300294,784497.248401249
10,1000000,0.05,1,1,5,714843.7560543064,829670.0299518742,750801.7653975757,750801.7653975757,750801.7653975757,750801.7653975757,750801.7653975757,750801.7653975757,750801.7653975757,750801.7653975757,714843.7560543064
10,1000000,0.05,1,5,1,758772.3834015981,876566.0300759276,860881.1285656877,758772.3834015981,758772.3834015981,758772.3834015981,758772.3834015981,758772.3834015981,758772.3834015981,758772.3834015981,758772.3834015981
10,1000000,0.05,1,5,5,769014.5300295264,816395.511625121,796618.1788294332,796618.1788294332,796618.1788294332,769014.5300295264,769014.5300295264,769014.5300295264,769014.5300295264,769014.5300295264,769014.5300295264
10,1000000,0.05,3,1,1,754130.8464246152,809218.5134475469,809218.5134475469,764253.7378952494,764253.7378952494,764253.7378952494,764253.7378952494,764253.7378952494,754130.8464246152,754130.8464246152,754130.8464246152
10,1000000,0.05,3,1,5,772839.1849871504,854311.7252225387,845429.3706261365,820720.5057045723,818460.196899746,818460.196899746,818460.196899746,801904.3964848514,801904.3964848514,801904.3964848514,772839.1849871504
10,1000000,0.05,3,5,1,780155.4012924792,893199.8888243915,813394.7794017324,780155.4012924792,780155.4012924792,780155.4012924792,780155.4012924792,780155.4012924792,780155.4012924792,780155.4012924792,780155.4012924792
10,1000000,0.05,3,5,5,733067.4447684757,733067.4447684757,733067.4447684757,733067.4447684757,733067.4447684757,733067.4447684757,733067.4447684757,733067.4447684757,733067.4447684757,733067.4447684757,733067.4447684757
10,1000000,0.5,1,1,1,712492.4398344578,748643.5886004057,748643.5886004057,748643.5886004057,742348.8856912872,742348.8856912872,742348.8856912872,742348.8856912872,712492.4398344578,712492.4398344578,712492.4398344578
10,1000000,0.5,1,1,5,751894.5273932423,864942.6536611337,839244.1083061112,839244.1083061112,751894.5273932423,751894.5273932423,751894.5273932423,751894.5273932423,751894.5273932423,751894.5273932423,751894.5273932423
