Tuning Experiment Output,22/04/2022 20:59:42
Network,medium
Min Target Flow,600
Exact Cost,475714.2721209895
Relaxed Cost,478382.43584615976
TUNING EXPERIMENT OUTPUT
Num. Ants,Initial Pheromone,Evap. Rate,Alpha,Beta,Q,Best Cost,Convergence
25,1,0.05,1,1,1,572689.4860585509,660643.8515166874,640129.5180769254,638707.4730429127,638707.4730429127,638707.4730429127,638707.4730429127,638707.4730429127,613300.7983305845,613300.7983305845,613300.7983305845,613300.7983305845,613300.7983305845,613300.7983305845,572689.4860585509,572689.4860585509,572689.4860585509,572689.4860585509,572689.4860585509,572689.4860585509,572689.4860585509,572689.4860585509,572689.4860585509,572689.4860585509,572689.4860585509,572689.4860585509
25,1,0.05,1,1,5,587773.9008388148,683877.6298244721,679176.6415211847,679176.6415211847,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148,587773.9008388148
25,1,0.1,1,1,1,579243.2093490887,683360.3856926254,683360.3856926254,657662.2529542071,657662.2529542071,655591.8218807605,629755.4872327908,629755.4872327908,629755.4872327908,584345.0949207653,584345.0949207653,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887,579243.2093490887
25,1,0.1,1,1,5,587553.3317289344,758309.1530584112,668966.6380415754,668942.3960306813,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,618087.8556486687,587553.3317289344,587553.3317289344,587553.3317289344
25,1,0.5,1,1,1,491538.2344993954,612409.6539225286,612409.6539225286,612409.6539225286,612409.6539225286,612409.6539225286,612409.6539225286,612409.6539225286,612409.6539225286,612409.6539225286,612409.6539225286,612409.6539225286,612409.6539225286,580890.6323059512,580890.6323059512,580890.6323059512,580890.6323059512,580890.6323059512,580890.6323059512,530163.9751909608,530163.9751909608,530163.9751909608,530163.9751909608,524212.3147944367,506086.27744168334,491538.2344993954
25,1,0.5,1,1,5,504388.2649943418,674251.9571007726,638973.5926487405,638973.5926487405,638973.5926487405,638973.5926487405,638973.5926487405,638973.5926487405,612637.7646089038,612637.7646089038,612637.7646089038,581880.0590683902,581880.0590683902,581880.0590683902,544337.1818744751,544337.1818744751,511912.0994139912,511912.0994139912,511912.0994139912,511912.0994139912,510625.5330321601,510625.5330321601,510625.5330321601,509645.2779080102,504388.2649943418,504388.2649943418
25,1000000,0.05,1,1,1,556469.2212019623,723466.0402854723,694925.2737341208,694925.2737341208,667520.2906967833,667520.2906967833,660444.3208111463,652154.5139361788,652154.5139361788,652154.5139361788,634689.56097674,623926.1065336255,623926.1065336255,623926.1065336255,623926.1065336255,623926.1065336255,623926.1065336255,623926.1065336255,623926.1065336255,556469.2212019623,556469.2212019623,556469.2212019623,556469.2212019623,556469.2212019623,556469.2212019623,556469.2212019623
25,1000000,0.05,1,1,5,595558.5704980654,688767.29168483,680142.9907215353,620161.4108148486,620161.4108148486,620161.4108148486,620161.4108148486,620161.4108148486,620161.4108148486,619512.3870785522,619512.3870785522,619512.3870785522,619512.3870785522,619512.3870785522,619512.3870785522,619512.3870785522,595558.5704980654,595558.5704980654,595558.5704980654,595558.5704980654,595558.5704980654,595558.5704980654,595558.5704980654,595558.5704980654,595558.5704980654,595558.5704980654
25,1000000,0.1,1,1,1,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275,575204.1070974275
25,1000000,0.1,1,1,5,615465.4311632903,720535.6032387803,674716.5717292576,674716.5717292576,633228.384138989,633228.384138989,633228.384138989,633228.384138989,633228.384138989,633228.384138989,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903,615465.4311632903
25,1000000,0.5,1,1,1,481844.5369803733,705307.1235673344,705307.1235673344,678729.4494247842,673558.0036721316,673558.0036721316,673558.0036721316,657801.8340503816,657801.8340503816,657801.8340503816,657801.8340503816,657801.8340503816,657801.8340503816,610349.829932965,610349.829932965,610349.829932965,586267.6649164235,505420.1675772004,505420.1675772004,504020.0465582374,494736.4768118202,494736.4768118202,491649.0739947574,481844.5369803733,481844.5369803733,481844.5369803733
