['25', '1', '1', 100, 110886.65051485461, 110886.77124069432, 121376.12675515538, 121376.12675515538, 121376.12675515538, 110886.65051485461, 121376.12675515538, 121376.12675515538, 121376.12675515538, 121376.12675515538, 110886.65051485461, 121376.12675515538, 119278.23150709523, 7.5677107688598255]
['25', '1', '5', 500, 327320.38568609307, 333366.7278240637, 358325.14463912963, 352491.6068691426, 350613.2427232631, 353595.14787337725, 357919.58979080524, 352204.73416494037, 355100.6697169139, 358987.7346459659, 355976.3669273569, 356321.3471203426, 355153.55844712374, 8.503342284254556]
['25', '1', '10', 1000, 581789.5391679003, 595545.330036832, 615706.0302602535, 608917.4140881465, 618455.899125008, 616313.5937243688, 610027.0708067622, 609218.626444583, 620278.936064167, 614667.1860772865, 612573.0757076112, 620148.0099655783, 614630.5842263764, 5.644832512019149]
['50', '1', '1', 100, 132254.29939844453, 132254.29944812498, 147151.5982028426, 147438.1596749491, 137997.48360859643, 147593.30105709692, 147438.1596749491, 137997.48360859643, 145681.80418200346, 138766.23924933356, 147593.30105709692, 143397.0249242391, 144105.45552397036, 8.960885339403358]
['50', '1', '5', 500, 392659.446699113, 392659.6283837441, 459828.3112845317, 468027.3855983969, 464597.0088570029, 463103.61584260117, 479358.1140398007, 464100.34265288693, 452700.3114759381, 445757.7594054819, 468233.6559331036, 474970.6858514798, 464067.7190941224, 18.18580273448205]
['50', '1', '10', 1000, 646120.7048373588, 646658.4413189769, 736054.4258097054, 722119.3147429101, 735841.3045611824, 729525.680604988, 729457.2835533544, 733672.1512853651, 734832.1392290781, 729254.6092070541, 721986.0666535855, 732991.0130559546, 730573.3988703176, 13.070730190300473]
['100', '1', '1', 100, 127751.55433649945, 127751.55389129987, 142631.0889962598, 141560.63394387442, 141560.63394387442, 153613.4454262618, 152513.97852024532, 142631.0889962598, 141560.63394387442, 141560.63394387442, 141560.63394387442, 134407.8772474821, 143360.06489058808, 12.217863520451244]
['100', '1', '5', 500, 412916.0091462317, 413546.20125123503, 574090.0007784603, 580347.9878869884, 598946.2968071039, 538297.3143524823, 557841.8634543405, 584062.0704126101, 600326.5147765137, 575204.1455036467, 578724.7542604138, 570755.6893717998, 575859.663760436, 39.46169463158276]
['100', '1', '10', 1000, 733459.4042059297, 738421.5553885051, 1005816.9435585601, 968710.5024217488, 987582.8318521202, 1051024.731594327, 970098.6543015218, 1083573.1394199505, 979000.5441267453, 1051662.6660380994, 1023107.7871297834, 1028820.3458475248, 1014939.8146290382, 38.37709473884918]
['500', '1', '1', 100, 188994.4436885017, 188994.11620866327, 236069.32184311963, 225910.42151581455, 241759.30134271242, 222677.83594844877, 234225.4157425278, 222202.200404239, 234506.89288815446, 231913.40635207717, 221382.47300597848, 240669.6779714643, 231131.6947014536, 22.295497259380824]
