Num. Nodes,Num. Parallel Edges,Num. Src/Sinks,Min. Target Flow,Optimal MILP Value,Relaxed LP Value,ACO 1,ACO 2,ACO 3,ACO 4,ACO 5,ACO 6,ACO 7,ACO 8,ACO 9,ACO 10,Avg. ACO Value,Optimality Gap
52,1,5,500,335437.5237,341977.1371,359850.4414,365999.9875,360104.4566,357044.7313,362666.6694,365653.9584,352089.7382,366690.9089,358114.9025,365653.9584,361386.9752,7.74
308,1,5,500,616493.6288,618261.5063,1269370.331,1173796.592,1141428.665,1168896.495,1175053.365,1226734.445,1192058.304,1142987.572,1160491.774,1275433.899,1192625.144,93.45
226,1,1,100,180506.0963,180506.1051,242383.8789,261233.1332,221424.6723,266716.4332,246922.6551,254573.7466,247660.1376,261302.9868,266841.6416,275177.7107,254423.6996,40.95
333,1,1,100,127354.1247,127354.1258,127354.1247,129173.7376,129529.1489,128668.1985,137659.1824,128668.1985,127354.1247,128668.1985,128016.7211,127354.1247,129244.5759,1.48
297,1,1,100,127233.9452,127621.1064,150278.2819,147725.718,149596.8306,137945.1821,149293.1532,127620.9053,127383.2689,147974.0517,138930.5972,148430.679,142517.8668,12.01
212,1,5,500,356927.4454,359091.4563,444464.1494,475441.8333,437574.9593,465549.4311,450772.9477,448699.0086,430642.1629,445288.9844,422897.9216,397566.8575,441889.8256,23.80
256,1,5,500,536320.0272,538538.8951,1030019.878,1020634.4,1090421.896,936562.1622,1075238.01,1128257.092,1021045.213,1037870.447,973743.91,1122859.59,1043665.26,94.60
203,1,1,100,85120.11445,85119.94735,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,0.00
239,1,1,100,78567.71441,78959.95721,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,0.00
173,1,1,100,87089.70714,87249.12106,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,0.00
285,1,10,1000,747174.1086,752792.2995,1333363.795,1337323.156,1355996.665,1296996.063,1329918.942,1366591.708,1346631.338,1326751.186,1368943.915,1381381.387,1344389.816,79.93
66,1,5,500,339136.624,340209.8624,464689.9426,435240.4174,442820.8642,414515.603,430703.4514,429471.315,417671.2,422203.0232,457200.0764,453006.8188,436752.2712,28.78
55,1,5,500,343119.7842,343119.3209,362111.1662,385073.1452,387062.2417,381290.5407,400612.3705,412429.5465,388398.5079,381751.7385,404264.2649,414084.2582,391707.778,14.16
332,1,5,500,496781.5096,497244.5176,858845.685,897811.3836,846043.8411,859958.04,928312.9126,845032.2751,920738.3593,968166.9646,910883.4593,857994.0359,889378.6957,79.03
99,1,10,1000,630583.8253,631014.6982,871610.2599,900838.9444,893066.9891,873397.7369,896813.2229,893136.3615,901597.1934,917981.1401,872308.455,887443.4671,890819.377,41.27
369,1,1,100,93551.51164,93551.25907,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,0.00
65,1,1,100,83899.28509,83899.28523,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,0.00
196,1,1,100,132220.2534,132761.0475,132650.0104,132650.0104,145412.185,132650.0104,132650.0104,135275.3312,132650.0104,142547.6166,141577.0649,142117.8596,137018.0109,3.63
347,1,5,500,390721.1123,391438.0777,720824.1472,702174.3433,686713.6424,764007.0752,811574.644,765673.4596,687474.0748,754793.9663,762056.2545,727820.1682,738311.1776,88.96
328,1,5,500,401957.6248,402005.1089,639938.6981,640603.3969,629141.9871,614715.4479,624147.351,544869.8002,554167.8665,625338.2165,632141.3198,605870.451,611093.4535,52.03
115,1,10,1000,733651.7895,736886.3765,928052.9448,901440.6754,949153.7048,901932.8456,875893.7371,901214.7059,934005.5897,957910.5421,913286.4615,909098.7665,917198.9973,25.02
171,1,5,500,400509.8047,401058.469,635627.2323,620811.9487,596898.2697,583256.232,556447.6367,592001.5598,582987.7046,582654.865,583629.9131,597672.4688,593198.7831,48.11
88,1,10,1000,649503.9264,652236.4168,843133.456,799509.2842,815879.0586,825971.3138,824408.5288,836665.6881,812178.2937,834035.4843,829162.3432,820429.0367,824137.2487,26.89
397,1,10,1000,777092.3715,778473.1624,1208920.949,1237192.976,1197934.724,1201399.723,1237675.991,1237589.56,1199719.45,1268042.439,1215297.868,1210982.678,1221475.636,57.19
201,1,5,500,367795.1612,368026.6743,478500.862,484304.6044,505063.8439,482997.5552,497075.1821,472644.7109,479892.4605,511004.0777,499306.927,484865.4315,489565.5655,33.11
158,1,5,500,409312.2534,412403.0348,549057.9536,528784.3731,561218.9522,540693.8229,564490.2239,552148.5722,548256.2067,544935.0477,573385.793,528685.9641,549165.6909,34.17
231,1,1,100,152669.1945,152669.1971,167513.1918,165759.0135,174493.1238,176730.4211,165486.5007,168001.5255,165277.6945,164901.833,165486.5007,163788.9756,167743.878,9.87
256,1,10,1000,812430.5876,813574.4005,1707407.373,1711347.186,1597952.389,1733082.053,1659607.342,1676829.945,1609439.377,1641934.869,1638843.68,1692522.878,1666896.709,105.17
82,1,5,500,393584.508,393584.5181,449173.02,423640.1424,446909.5345,430203.9964,427078.5852,432732.9872,416417.0825,418579.7861,421468.2747,442295.1578,430849.8567,9.47
91,1,10,1000,660380.3793,661710.5717,727292.3996,713110.2678,725786.6533,714924.6477,729609.6878,717960.9684,730409.1003,739218.0786,720608.4933,712490.8522,723141.1149,9.50
152,1,10,1000,744228.495,749252.9611,1055664.863,1040041.986,1030691.534,1033328.276,1056562.953,1013834.115,1063788.313,1042283.078,1021486.137,1091368.335,1044904.959,40.40
366,1,1,100,86415.49496,86414.80624,86415.49496,86415.49496,86415.49496,86415.49496,86415.49496,86415.49496,86415.49496,86415.49496,86415.49496,86415.49496,86415.49496,0.00
213,1,5,500,379265.8829,379265.2853,444639.2575,403606.1464,404256.8641,455476.0191,405278.0091,417709.5055,432065.8996,430975.3963,423032.1817,413694.7962,423073.4075,11.55
205,1,1,100,116871.6551,116871.6494,116871.6551,116871.6551,116871.6551,116871.6551,118770.0984,116871.6551,118217.5272,118217.5272,116871.6551,116871.6551,117330.6738,0.39
238,1,1,100,82865.86505,82865.86945,82865.86505,82865.86505,82865.86505,82865.86505,82865.86505,82865.86505,82865.86505,82865.86505,82865.86505,82865.86505,82865.86505,0.00
324,1,1,100,75078.14852,75078.17803,75078.14852,75078.14852,75078.14852,75078.14852,75078.14852,75078.14852,75078.14852,75078.14852,75078.14852,75078.14852,75078.14852,0.00
256,1,5,500,460347.8462,460653.5344,708426.4352,753622.5295,766875.7244,744925.3738,667375.1167,639329.9829,695693.9373,770135.6519,758689.8184,708669.7502,721374.432,56.70
395,1,1,100,77907.39683,77907.3968,77907.39683,77907.39683,77907.39683,77907.39683,77907.39683,77907.39683,77907.39683,77907.39683,77907.39683,77907.39683,77907.39683,0.00
207,1,10,1000,693044.5948,693864.3627,995423.2439,944117.9221,980910.7822,950329.3241,998031.9628,984048.9719,1005068.784,969836.2061,986026.1818,947836.044,976162.9423,40.85
379,1,5,500,509572.5728,510531.8345,880680.3227,860420.8573,900125.745,888499.772,896358.0797,841653.4551,862569.2704,907822.2382,898482.7731,751445.7965,868805.831,70.50
145,1,5,500,427371.8714,428057.4031,531719.4458,533696.0116,563102.0497,565917.6195,547613.3971,513554.4902,554154.019,506793.1141,565435.6426,536193.4904,541817.928,26.78
276,1,10,1000,691835.377,693653.6919,951324.1607,985068.1608,959912.9767,948670.7562,964827.1837,869039.7102,889832.1521,936034.3212,949441.5924,907990.0708,936214.1085,35.32
269,1,5,500,514495.5366,526436.8169,859355.2111,800660.098,831785.0801,786039.8638,858113.665,859608.5717,849521.2259,812579.2307,819077.4694,793007.967,826974.8383,60.74
283,1,10,1000,754721.8398,758286.1062,1217897.077,1298053.498,1300834.182,1273214.743,1223836.779,1335172.453,1284813.051,1251332.045,1332646.525,1332187.455,1284998.781,70.26
235,1,10,1000,754591.7905,759516.5791,1176250.584,1168584.888,1176666.35,1131414.204,1085252.056,1191166.669,1151411.705,1136234.672,1123500.137,1208590.169,1154907.143,53.05
174,1,1,100,149957.8881,150588.949,170540.6667,162542.4392,173357.8457,174120.0836,171403.9438,182933.3393,172540.6032,159650.897,172027.2513,162347.3743,170146.4444,13.46
147,1,1,100,89869.76461,89869.76441,89869.76461,89869.76461,89869.76461,89869.76461,89869.76461,89869.76461,89869.76461,89869.76461,89869.76461,89869.76461,89869.76461,0.00
395,1,1,100,192086.6519,192086.6499,228157.1195,233865.5264,238855.8555,241356.0583,225727.7814,271386.8283,236863.2299,228224.1395,217843.9771,236987.2402,235926.7756,22.82
35,1,5,500,353145.5262,353864.8597,422210.9677,428820.9108,408350.3864,425720.6415,424596.367,429330.8488,425004.2375,417228.1956,399153.6732,420131.9325,420054.8161,18.95
93,1,1,100,108427.0868,108427.0939,108427.0868,108427.0868,108427.0868,108427.0868,108427.0868,108427.0868,108427.0868,108427.0868,108427.0868,108427.0868,108427.0868,0.00
160,1,5,500,404844.9653,406033.0042,560734.9433,571665.1249,590156.0318,530221.5996,546955.4046,583145.1347,595761.2012,512794.9677,515426.1331,524336.2301,553119.6771,36.63
199,1,1,100,191307.5441,191307.598,223600.4383,214594.1264,228250.5981,215547.9547,222563.3019,231815.4734,235310.6873,213512.3924,237209.5654,202623.3144,222502.7852,16.31
284,1,5,500,492603.6826,496006.8404,951138.6713,938966.6326,1030996.517,972133.643,1026729.63,951596.405,956288.2127,924163.2703,880705.3369,866119.935,949883.8254,92.83
94,1,10,1000,658513.0187,663646.9106,779939.2284,809153.4022,797192.1145,823746.3896,798054.7351,818541.8222,763842.8978,768457.6528,804272.5466,815774.717,797897.5506,21.17
389,1,10,1000,829872.0677,830028.0944,1363876.854,1314266.279,1308670.571,1404577.83,1263712.757,1334937.837,1303111.777,1305864.652,1350344.221,1320134.556,1326949.733,59.90
155,1,1,100,131102.8484,131102.8485,142270.3071,142270.3071,142019.844,133347.2054,152587.5832,142058.5713,142678.1823,150318.5441,141971.229,148020.6214,143754.2395,9.65
357,1,1,100,170663.3831,171733.761,193697.2946,193219.7653,203912.7293,191232.5876,213255.5456,190666.1791,191483.9872,215120.7324,190345.3701,224766.902,200770.1093,17.64
